year,month,duration
2022,9,0.9833333333333333
2022,10,0.5
2022,11,1.0
2022,12,1.0
2023,1,3.0
2023,2,2.0833333333333335
2023,3,2.1666666666666665
2023,4,2.0
2023,5,0.5
2023,6,2.5
2023,7,1.5
2023,8,0.5
2023,9,5.5
2023,10,1.0
2023,11,2.0
2023,12,1.0
2024,1,1.1666666666666667
2024,2,8.0
2024,3,4.0
